WORLD,NAME,AGE GROUP,GENDER ,OCCULT,ETHNICITY,JOB,JOB DETAIL / BRANCH AND LEVEL,NOTES,PLAYABLE SIM,STATUS,Family Status,"LOT VALUE
=IF(Lots!I#="""","""",Lots!I#)",HOUSEHOLD FUNDS,BANK CASH,TOTAL,WEALTH CLASS,INDIVIDUAL WEALTH CLASS,CLUB,FAME LEVEL,PET,PET NOTES,PRESTIGE RANK,SUGAR,DOS,OWES KASON MONEY,OWES KASON TIME,FAITH,ADDICTION,ALIGNMENT,POWER SOURCE,FORM LEVEL,MAGICAL ABILITIES,SPELLS,ALCHEMY POTIONS,ALTAR CONFIGURATIONS,OCCULT GROUP,LANGUAGE SPOKEN,POLITICAL ALIGNMENT,ORIENTATION
Brindleton Bay,Red Simmons,Adult,Female,Human,Nordskan,LittleMsSam More Buyable Venues cc Low-Risk Inmate (NPC-Agent),,"fyne shyt,2F",No,Ongoing,,,"§2,000",,"§2,000",Destitute,Destitute,"Prisoner Self Care,Prisoner Activities",,,,,,,,,,,,,,,,,,,"Simlish , Nordska",,Straight
Brindleton Bay,Silk Johnson,Adult,Male,Human,Eastern Simli,LittleMsSam More Buyable Venues cc Low-Risk Inmate (NPC-Agent),,"Fyne Shyt,2B",No,Ongoing,,,"§2,000",,"§2,000",Destitute,Destitute,"Prisoner Self Care,Prisoner Activities",,,,,,,,,,,,,,,,,,,Simlish,,Straight
Brindleton Bay,Siren Brooks,Adult,Female,Human,Eastern Simli,LittleMsSam More Buyable Venues cc Low-Risk Inmate (NPC-Agent),,"con artist,2F",No,Ongoing,,,"§2,000",,"§2,000",Destitute,Destitute,"Prisoner Self Care,Prisoner Activities",,,,,,,,,,,,,,,,,,,Simlish,,Straight
Brindleton Bay,Sticky O'Connor,Adult,Male,Human,Komorebigan,LittleMsSam More Buyable Venues cc Low-Risk Inmate (NPC-Agent),,"thief,2A",No,Ongoing,,,"§2,000",,"§2,000",Destitute,Destitute,"Prisoner Self Care,Prisoner Activities",,,,,,,,,,,,,,,,,,,"Simlish , Komorebigo",,Straight
Brindleton Bay,Vendedor Ramirez,Adult,Male,Human,Komorebigan,"LittleMsSam More Buyable Venues cc Low-Risk Inmate (NPC-Agent) , Shady Pharma",,"dealer,2C",No,Ongoing,,,"§2,000",,"§2,000",Destitute,Destitute,"Prisoner Self Care,Prisoner Activities",,,,,,,,,,,,,,,,,,,"Simlish , Komorebigo",,Straight
Brindleton Bay,Wall Lontok,Adult,Male,Human,Tomaruan,LittleMsSam More Buyable Venues cc Low-Risk Inmate (NPC-Agent),,"bodybuilder,2B",No,Ongoing,,,"§2,000",,"§2,000",Destitute,Destitute,"Prisoner Self Care,Prisoner Activities",,,,,,,,,,,,,,,,,,,"Simlish , Tomaru , Windenburgis",,Straight
Brindleton Bay,Harley Quinn,Adult,Female,Human,Western Simli,LittleMsSam More Buyable Venues cc Medium-Risk Inmate (NPC-Agent),,"insane,1A",No,Ongoing,,,"§5,000",,"§5,000",Destitute,Destitute,"Prisoner Self Care,Prisoner Activities",,,,,,,,,,,,,,,,,,,"Simlish , Windenburgish",,Straight
Brindleton Bay,Lone Obaja,Adult,Male,Werewolf,Eastern Simli,LittleMsSam More Buyable Venues cc Medium-Risk Inmate (NPC-Agent),,"loner,1B",No,Ongoing,Obaja,,"§5,000",,"§5,000",Destitute,Destitute,"Prisoner Self Care,Prisoner Activities",,,,,,,,,,,,,,,,,,no humans,Simlish,,Straight
Brindleton Bay,Andrew Schulz,Adult,Male,Human,South Windenburgian,Basiness,,"Cassie’s dad, suburban class",No,Not Started,Heartwell_Baek_Beaumont_Nguyen_Schulz_Arista_Okafor,"§101,619","§90,000",,"§191,619",Middle Class,Middle Class,,,Cat,,,,,,,,,,,,,,,,,"Simlish , Windenburgish",,Straight
Brindleton Bay,Karen Schulz,Adult,Female,Human,South Windenburgian,Active Fashion Designer,,"Cassie’s mom, supportive",No,Not Started,Heartwell_Baek_Beaumont_Nguyen_Schulz_Arista_Okafor,"Same as Andrew, same household","Same as Andrew, same household",,,,Middle Class,The Fashion Forward Club,,,,,,,,,,,,,,,,,,,"Simlish , Windenburgish",,Straight
Brindleton Bay,Cassie Schulz,Teenager,Female,Human,South Windenburgian,"High School Student , Cheer Team Member",,"Pick-me, insecure teen, popular",No,Not Started,Heartwell_Baek_Beaumont_Nguyen_Schulz_Arista_Okafor,"Same as Andrew, same household","Same as Andrew, same household",,,,Middle Class,,,,,,,,,,,,,,,,,,,,"Simlish , Windenburgish",,Straight
Britechester,Ferris Doyle,Young Adult,Male,Human,Western Simli,"Shady Pharma , Uni-History , BASEMENTAL cc",,"Campus dealer, supplies students and uni staff. Knows Javante Rollins — Javante came to Britechester once and bought from him. Laid-back, unremarkable exterior.",No,Not Started,,,"§1,200",,"§1,200",Destitute,Destitute,The Library Club,,,,,,,,,,,,,,,,,,,Simlish,Llamazonian,Straight
Britechester,Dougal Fenn,Adult,Male,Human,Western Simli,BASEMENTAL cc,,"POILICE
Campus-adjacent officer,",No,Not Started,,,"§45,000",,"§45,000",Poor,Poor,,,,,,,,,,,,,,,,,,,,Simlish,,Both Genders
Chestnut Ridge,Chayton Croftcroft,Adult,Male,Human,Western Simli & Eastern Simli,"Self Employed, Equestrian","Breeds, Trains and Sells Horses","Third son, last child of bartholomew & Sylvia Faircroft, Married to Fiona Croftcroft, Parent to Colt and Sage Croftcroft  lives in Chestnut Ridge, Rancher,check Ashcroft Faircroft family tree to see relations",Yes,Not Started,Ashcroft_Faircroft_Croftcroft_Ironsoul_Grayhawk_Moretti_Usher_Vionna_Kaltman,"§217,386","§150,000",,"§367,386",Middle Class,Middle Class,"The Equestrian Club , Soil to mouth Association",,"Horse,Horse,Horse",Jean Jacket,,,,,,,,,,,,,,,,Simlish,Simladian,Straight
Chestnut Ridge,Fiona Croftcroft,Adult,Female,Human,Western Simli,"Self Employed, Equestrian","Breeds, Trains and Sells Horses","Last born Daughter of Edgar & Mirelle Ashcroft, married to Isaac Croftcroft, Parent to Colt and sage Ashcroft ,liberal and modern, hates bigotry from bartholomew,check Ashcroft Faircroft family tree to see relations",Yes,Not Started,Ashcroft_Faircroft_Croftcroft_Ironsoul_Grayhawk_Moretti_Usher_Vionna_Kaltman,"same as Chayton, same household","same as Chayton, same household",,,,Middle Class,The Equestrian Club,,,,,,,,,,,,,,,,,,,Simlish,,Straight
Chestnut Ridge,Colt Croftcroft,Teenager,Male,Human,Western Simli & Eastern Simli,"Independent School Student, Youth-Eque-Club member",,"Son of Isaac & Fiona Croftcroft, into horses,check Ashcroft Faircroft family tree to see relations",Yes,Not Started,Ashcroft_Faircroft_Croftcroft_Ironsoul_Grayhawk_Moretti_Usher_Vionna_Kaltman,"same as Chayton, same household","same as Chayton, same household",,,,Middle Class,The Equestrian Club,,,,,,,,,,,,,,,,,,,Simlish,,Straight
Chestnut Ridge,Sage Croftcroft,Teenager,Male,Human,Western Simli & Eastern Simli,"Independent School Student, Youth-Eque-Club member",,"Son of Isaac & Fiona Ashcroft, into horses,check Ashcroft Faircroft family tree to see relations",Yes,Not Started,Ashcroft_Faircroft_Croftcroft_Ironsoul_Grayhawk_Moretti_Usher_Vionna_Kaltman,"same as Chayton, same household","same as Chayton, same household",,,,Middle Class,The Equestrian Club,,,,,,,,,,,,,,,,,,,Simlish,,Straight
Chestnut Ridge,Scotty MacScottface,Adult,Male,Human,Nordskan,"A.W.E Act Actor-Actress , Restaurant Waitstaff at Grapevine Saloon",,check cinerotique,No,Not Started,,,§700,,§700,Destitute,Destitute,"The Athletics Club , The Equestrian Club",,,,,,,,,,Steroids,,,,,,,,,"Simlish , Nordska",,Both Genders
Chestnut Ridge,Rafael Khin,Adult,Male,Human,Selvadoradian,Doctor,,,No,Not Started,Khin_King,"§71,938","§7,000",,"§78,938",Poor,Poor,The Equestrian Club,,Horse,,,,,,,,Caffeine,,,,,,,,,"Simlish , Selvadoradian",,Straight
Chestnut Ridge,Mirella Khin,Adult,Female,Human,Tomaruan,Detective,,,No,Not Started,Khin_King,"Same as Rafael, same household","Same as Rafael, same household",,,,Poor,The Equestrian Club,,,,,,,,,,Caffeine,,,,,,,,,"Simlish , Tomaru",,Straight
Chestnut Ridge,Amaya Khin,Newborn,Female,Human,Tomaruan & Selvadoradian,,,,No,Not Started,Khin_King,"Same as Rafael, same household","Same as Rafael, same household",,,,Poor,,,,,,,,,,,,,,,,,,,,"Simlish , Selvadoradian , Tomaru",,
Chestnut Ridge,Luan Khin,Newborn,Male,Human,Tomaruan & Selvadoradian,,,,No,Not Started,Khin_King,"Same as Rafael, same household","Same as Rafael, same household",,,,Poor,,,,,,,,,,,,,,,,,,,,"Simlish , Selvadoradian , Tomaru",,
Chestnut Ridge,Cielo Khin,Newborn,Male,Human,Tomaruan & Selvadoradian,,,,No,Not Started,Khin_King,"Same as Rafael, same household","Same as Rafael, same household",,,,Poor,,,,,,,,,,,,,,,,,,,,"Simlish , Selvadoradian , Tomaru",,
Chestnut Ridge,Orion Khin,Infant,Male,Human,Tomaruan & Selvadoradian,,,,No,Not Started,Khin_King,"Same as Rafael, same household","Same as Rafael, same household",,,,Poor,,,,,,,,,,,,,,,,,,,,"Simlish , Selvadoradian , Tomaru",,
Chestnut Ridge,Juniper Grove,Adult,Female,Human,Eastern Simli,Restaurant Waitstaff at Grapevine Saloon,,,No,Not Started,Grove,"§64,730",In game,,,,,The Equestrian Club,,"Horse,Horse",,,,,,,,,,,,,,,,,Simlish,,Straight
Chestnut Ridge,Umber Grove,Adult,Male,Human,Eastern Simli,"Freelancer , Restaurant Cook at Grapevine Saloon",,Artist,No,Not Started,Grove,In game,In game,,,,,"The Art Appreciation Society , The Equestrian Club",,,,,,,,,,,,,,,,,,,Simlish,,Straight
Chestnut Ridge,Wren Grove,Child,Male,Human,Eastern Simli,"Independent School , Youth Horse Club Member",,GIVE JOB,No,Not Started,Grove,In game,In game,,,,,The Equestrian Club,,,,,,,,,,,,,,,,,,,Simlish,,
Chestnut Ridge,Sienna Grove,Adult,Female,Human,Eastern Simli,HORSE TRAINER NPCS,,Horse Trainer NPC,No,Not Started,Grove,"§71,938",In game,,,,,The Equestrian Club,,Horse,,,,,,,,,,,,,,,,,Simlish,,Straight
Chestnut Ridge,Roberto Crinkletop,Elder,Male,Human,Selvadoradian,Retired,,"Give Job, Roberto Crinkletop was formerly known as Robert Crumplebottom, who ran away from an unhappy marriage with Agnes in Henford-on-Bagley as an adult, to start a new life as a ranch hand in Chestnut Ridge after staging his own death",No,Not Started,,"§91,728",In game,,,,,The Equestrian Club,,Horse,,,,,,,,,,,,,,,,,"Simlish , Selvadoradian , Tomaru",,Straight
Chestnut Ridge,Aron Lawson,Adult,Male,Human,Eastern Simli,RANCHHAND NPCS,,,No,Ongoing,,,"§15,000",,"§15,000",Poor,Poor,The Equestrian Club,,,,,,,,,,,,,,,,,,,Simlish,,Straight
Chestnut Ridge,Avonaco Thunderhawk,Young Adult,Male,Human,Eastern Simli,RANCHHAND NPCS,,,No,Ongoing,,,"§15,000",,"§15,000",Poor,Poor,The Equestrian Club,,,,,,,,,,,,,,,,,,,Simlish,,Straight
Chestnut Ridge,Enola BlackRock,Young Adult,Female,Human,Eastern Simli,RANCHHAND NPCS,,,No,Ongoing,,,"§15,000",,"§15,000",Poor,Poor,The Equestrian Club,,,,,,,,,,,,,,,,,,,Simlish,,Straight
Chestnut Ridge,Richard Wesley,Adult,Male,Human,Ravenian,"Business , Restaurant Owner at Grapevine Saloon",,"Brother of Zane Wesley, rich father",No,Not Started,Al-Saud_Wesley_Al-Nahyan_Guidroz,"§61,552","§550,000",,"§611,552",Rich,Rich,The Equestrian Club,,Horse,Glue,,,,,,,,,,,,,,,,"Simlish , Ravena",,Straight
Chestnut Ridge,Farah Wesley,Adult,Female,Human,North Windenburgian,Stay-at-home-parent,,Trophy wife mother,No,Not Started,Al-Saud_Wesley_Al-Nahyan_Guidroz,"Same as Richard, same househols","Same as Richard, same household",,,,Rich,The Equestrian Club,,,,,,,,,,,,,,,,,,,"Simlish , Windenburgish",,Straight
Chestnut Ridge,Sugar Wesley,Teenager,Female,Human,Ravenian & North Windenburgian,"Elite Private School Student , Youth-Eque-Club member",,"Spoiled Barbie  wannabe teen, sugar baby",No,Not Started,Al-Saud_Wesley_Al-Nahyan_Guidroz,"Same as Richard, same househols","Same as Richard, same household",,,,Rich,"The Barbie Fan Club , The Equestrian Club , The Nichole Yoh Fan Club",,,,,Baby,,,,,,,,,,,,,,"Simlish , Ravena , Windenburgish",,Straight
Ciudad Enamorada,Vanessa Moroiu,Young Adult,Female,Black Widow,Selvadoradian,Romance Consultant,,"Black Widow, Pheromonal Flower Picky,",Yes,Not Started,,,"§60,000",,"§60,000",Poor,Poor,Unexplained Anomalies Enthusiasts,,Dog,,,,,,,,,,,,,,,,,"Simlish , Selvadoradian",,Straight
Ciudad Enamorada,Shane Johnston,Young Adult,Male,Human,Komorebigan,"Call Person, A.W.E Act Actor-Actress , Restaurant Waitstaff at Laguna Del Abrazo",,check cinerotique,No,Not Started,,,"§5,000",,"§5,000",Destitute,Destitute,,1,,,,,,"300,000",Owes money,,,,,,,,,,,"Simlish , Komorebigo",,Both Genders
Ciudad Enamorada,Lhamo Nyima,Young Adult,Female,Everdew Fae,Komorebigan,NPC-Agent,,,No,Ongoing,,,§500,,§500,Destitute,Destitute,,,,,,,,,,,,Neutral,Air,4,"Fairy dust, sprite form, magic Mentor, teleportation","banishment, Cleanse, Complex Clarity charm, displacement, exemplum, invisique, irrelevio, liberate, sandman's bliss, transfigure, vanish",feather weight elixir,,,"Simlish , Komorebigo",,Straight
Ciudad Enamorada,Kierston Montenegro,Elder,Female,Human,Selvadoradian,Restaurant Cook at Laguna Del Abrazo,,"Their marriage is a legend in the community.They survived infidelity in the past.They remain passionately in love.
Abandoned her child David",No,Not Started,Bailey_Moon_López_Montenegro_Jacobs_Solis,,"§4,000",,"§4,000",Destitute,Destitute,The Foodies,,,,,,,,,,,,,,,,,,,"Simlish , Selvadoradian",,Straight
Ciudad Enamorada,Rut Montenegro,Elder,Male,Human,Selvadoradian,Restaurant Owner at Laguna Del Abrazo,,"Their marriage is a legend in the community. They survived infidelity in the past. They remain passionately in love.
The secret biological father of Cesar López
The affair occurred decades ago during a separation. Only Kierston and Mónica know. Intends to take this secret to the grave",No,Not Started,Bailey_Moon_López_Montenegro_Jacobs_Solis,,"Same as Kierston, same household",,,,Destitute,,,,,,,,,,,,,,,,,,,,"Simlish , Selvadoradian",,Straight
Ciudad Enamorada,Elena Beaumont  ,Adult,Female,Human,Selvadoradian,Scientist,,Give JOB,No,Not Started,Heartwell_Baek_Beaumont_Nguyen_Schulz_Arista_Okafor,,"§13,000",,"§13,000",Poor,Poor,,,,,,,,,,,,,,,,,,,,"Simlish , Selvadoradian",,Straight
Ciudad Enamorada,Dominic Beaumont  ,Child,Female,Human,Selvadoradian,"Independent School , Scout",,Give JOB,No,Not Started,Heartwell_Baek_Beaumont_Nguyen_Schulz_Arista_Okafor,,Same as Elena Same household,,,,Poor,,,,,,,,,,,,,,,,,,,,"Simlish , Selvadoradian",,
Ciudad Enamorada,Camille Beaumont  ,Toddler,Male,Human,Selvadoradian,,,,No,Not Started,Heartwell_Baek_Beaumont_Nguyen_Schulz_Arista_Okafor,,Same as Elena Same household,,,,Poor,,,,,,,,,,,,,,,,,,,,"Simlish , Selvadoradian",,
Ciudad Enamorada,Margarida Beaumont  ,Infant,Female,Human,Selvadoradian,,,,No,Not Started,Heartwell_Baek_Beaumont_Nguyen_Schulz_Arista_Okafor,,Same as Elena Same household,,,,Poor,,,,,,,,,,,,,,,,,,,,"Simlish , Selvadoradian",,
Ciudad Enamorada,Isla Beaumont  ,Newborn,Female,Human,Selvadoradian,,,,No,Not Started,Heartwell_Baek_Beaumont_Nguyen_Schulz_Arista_Okafor,,Same as Elena Same household,,,,Poor,,,,,,,,,,,,,,,,,,,,"Simlish , Selvadoradian",,
Ciudad Enamorada,Ivette Solis,Adult,Female,Human,Selvadoradian,Civil Designer,,"Biological mother of Luz López,Gave Luz up for adoption as an infant",No,Not Started,Bailey_Moon_López_Montenegro_Jacobs_Solis,,"§5,000",,"§5,000",Destitute,Destitute,Second Chance,,,,,,,,,,"Amphetamine , Cocaine",,,,,,,,,"Simlish , Selvadoradian",,Straight
Ciudad Enamorada,Encarnacion Solis,Child,Male,Human,Selvadoradian,"Boarding School Child , Swimming Lessons",,,No,Not Started,Bailey_Moon_López_Montenegro_Jacobs_Solis,,"Same as Celia Solis, Same household",,,,Destitute,The Swimming Club,,,,,,,,,,,,,,,,,,,"Simlish , Selvadoradian",,
Ciudad Enamorada,Clorinda Solis,Child,Female,Human,Selvadoradian,"Boarding School Child , Ballet Club",,,No,Not Started,Bailey_Moon_López_Montenegro_Jacobs_Solis,,"Same as Celia Solis, Same household",,,,Destitute,"The Performing Arts and Dance Club ,  The Ballerinas",,,,,,,,,,,,,,,,,,,"Simlish , Selvadoradian",,
Ciudad Enamorada,Carlos Alvarez,Elder,Male,Human,Selvadoradian,Midwifery,,Hardworking dad,No,Not Started,Alvarez_Cardona,,"§9,000",,"§9,000",Destitute,Destitute,,,,,,,,,,,,,,,,,,,,"Simlish , Selvadoradian",,Straight
Ciudad Enamorada,Rosa Alvarez,Adult,Female,Human,Selvadoradian,Restaurant Waitstaff at Laguna Del Abrazo,,Supportive mother,No,Not Started,Alvarez_Cardona,,"Same as carlos, same household",,,,Destitute,,,,,,,,,,,,,,,,,,,,"Simlish , Selvadoradian",,Straight
Ciudad Enamorada,Magdalena Alvarez,Teenager,Female,Human,Selvadoradian,"High School Student , Cheer Team Member",,"Stylish, kind HBIC, popular, Nate Jacob's Girlfriend",No,Not Started,Alvarez_Cardona,,"Same as carlos, same household",,,,Destitute,The Nichole Yoh Fan Club,,,,,,,,,,,,,,,,,,,"Simlish , Selvadoradian",,Straight
Ciudad Enamorada,Theo Alvarez,Toddler,Male,Human,Selvadoradian,,,Maddy’s little Brother,No,Not Started,Alvarez_Cardona,,"Same as carlos, same household",,,,Destitute,,,,,,,,,,,,,,,,,,,,"Simlish , Selvadoradian",,
Ciudad Enamorada,Aziz Nadir,Adult,Male,Human,Selvadoradian,Freelancer,,Writer,No,Ongoing,Nadir,"§147,165",In game,,,,,The Library Club,,,,,,,,,,,,,,,,,,,"Simlish , Selvadoradian",,Straight
Ciudad Enamorada,Valentina Nadir,Young Adult,Female,Human,Selvadoradian,Romance Consultant,,,No,Ongoing,Nadir,Same as Aziz Same household,In game,,,,,,,,,,,,,,,,,,,,,,,,"Simlish , Selvadoradian",,Straight
Ciudad Enamorada,Yoltic Xicoténcatl,Young Adult,Male,Human,Selvadoradian,Active Fashion Designer,,GIVE JOB,No,Not Started,,In game,In game,,,,,The Fashion Forward Club,,,,,,,,,,,,,,,,,,,"Simlish , Selvadoradian",,Straight
Ciudad Enamorada,Manuel Aguilar,Young Adult,Male,Human,Selvadoradian,Active Photographer,,"Manuel was high-school classmates with Mónica’s son, Cesar. Dating Mónica. Wants children in the future.Does not know about Mónica’s infertility GIVE JOB",No,Not Started,,"§131,351",In game,,,,,,,,,,,,,,,Psychedelics,,,,,,,,,"Simlish , Selvadoradian",,Straight
Ciudad Enamorada,Carmen Ortega,Elder,Female,Human,Selvadoradian,Restaurant Host at Laguna Del Abrazo,,,No,Not Started,,In game,In game,,,,,,,,,,,,,,,,,,,,,,,,"Simlish , Selvadoradian",,Straight
Ciudad Enamorada,Elia Cruz,Young Adult,Other,Human,Selvadoradian,Culinary,,Chef Branch,No,Not Started,,In game,In game,,,,,,,,,,,,,,,,,,,,,,,,"Simlish , Selvadoradian",,Straight
Ciudad Enamorada,Luz López,Teenager,Other,Human,Selvadoradian,"Alternative Public School Student , Student Council Member",,"Non Binary, Adopted as an infant
Biological mother is Ivette Solis (unknown to Luz). Raised believing Mónica is her biological mother",No,Not Started,Bailey_Moon_López_Montenegro_Jacobs_Solis,Same as Monica Same household,In game,,,,,The Bar Association,,,,,,,,,,,,,,,,,,,"Simlish , Selvadoradian",,Both Genders
